Student_ID,Course,Score,Attendance (%),Study_Hours,Gender,Campus
S001,Math,85.0,90.0,5.0,Male,Campus_A
S002,Physics,,85.0,4.0,Female,Campus_B
S003,Chemistry,78.0,70.0,,Male,Campus_A
S004,Math,92.0,95.0,6.0,Female,Campus_C
S005,Physics,65.0,60.0,3.0,Male,Campus_B
S006,Chemistry,88.0,,5.0,Male,Campus_A
S007,Math,,80.0,4.0,Female,Campus_C
S008,Physics,75.0,88.0,5.0,Male,Campus_B
S009,Chemistry,90.0,92.0,,Female,Campus_A
S010,Math,70.0,65.0,3.0,Male,Campus_C
S011,Physics,82.0,75.0,4.0,Female,Campus_B
S012,Chemistry,85.0,,6.0,Male,Campus_A
S013,Math,95.0,98.0,7.0,Female,Campus_C
S014,Physics,68.0,3.0,3.0,Male,Campus_B
S015,Chemistry,83.0,90.0,5.0,Female,Campus_A
S016,Math,77.0,70.0,4.0,Female,Campus_C
S017,Physics,89.0,95.0,,Male,Campus_B
S018,Chemistry,72.0,80.0,3.0,Female,Campus_A
S019,Math,84.0,,5.0,Male,Campus_C
S020,Physics,91.0,88.0,6.0,Female,Campus_B
S021,Chemistry,66.0,60.0,2.0,Male,Campus_A
S022,Math,87.0,92.0,5.0,Male,Campus_C
S023,Physics,75.0,75.0,4.0,Female,Campus_B
S024,Chemistry,93.0,97.0,7.0,Male,Campus_A
S025,Math,79.0,85.0,3.0,Female,Campus_C
S026,Physics,86.0,90.0,5.0,Male,Campus_B
S027,Chemistry,71.0,,4.0,Female,Campus_A
S028,Math,94.0,95.0,6.0,Male,Campus_C
S029,Physics,80.0,70.0,3.0,Male,Campus_B
S030,Chemistry,88.0,88.0,5.0,Female,Campus_A
